id,period_ids:id,col_num,name,tax_value,tax_rate
hr_payroll_exemp_d_1,hr_payroll_tax_period_d,1,1,0.00,0.00
hr_payroll_exemp_d_2,hr_payroll_tax_period_d,2,2,0.00,0.05
hr_payroll_exemp_d_3,hr_payroll_tax_period_d,3,3,1.65,0.10
hr_payroll_exemp_d_4,hr_payroll_tax_period_d,4,4,8.25,0.15
hr_payroll_exemp_d_5,hr_payroll_tax_period_d,5,5,28.05,0.20
hr_payroll_exemp_d_6,hr_payroll_tax_period_d,6,6,74.26,0.25
hr_payroll_exemp_d_7,hr_payroll_tax_period_d,7,7,165.02,0.30
hr_payroll_exemp_d_8,hr_payroll_tax_period_d,8,8,412.54,0.32
hr_payroll_exemp_w_1,hr_payroll_tax_period_w,1,1,0.00,0.00
hr_payroll_exemp_w_2,hr_payroll_tax_period_w,2,2,0.00,0.05
hr_payroll_exemp_w_3,hr_payroll_tax_period_w,3,3,9.62,0.10
hr_payroll_exemp_w_4,hr_payroll_tax_period_w,4,4,48.08,0.15
hr_payroll_exemp_w_5,hr_payroll_tax_period_w,5,5,163.46,0.20
hr_payroll_exemp_w_6,hr_payroll_tax_period_w,6,6,432.69,0.25
hr_payroll_exemp_w_7,hr_payroll_tax_period_w,7,7,961.54,0.30
hr_payroll_exemp_w_8,hr_payroll_tax_period_w,8,8,2403.85,0.32
hr_payroll_exemp_sm_1,hr_payroll_tax_period_sm,1,1,0.00,0.00
hr_payroll_exemp_sm_2,hr_payroll_tax_period_sm,2,2,0.00,0.05
hr_payroll_exemp_sm_3,hr_payroll_tax_period_sm,3,3,20.83,0.10
hr_payroll_exemp_sm_4,hr_payroll_tax_period_sm,4,4,104.17,0.15
hr_payroll_exemp_sm_5,hr_payroll_tax_period_sm,5,5,354.17,0.20
hr_payroll_exemp_sm_6,hr_payroll_tax_period_sm,6,6,937.50,0.25
hr_payroll_exemp_sm_7,hr_payroll_tax_period_sm,7,7,2083.33,0.30
hr_payroll_exemp_sm_8,hr_payroll_tax_period_sm,8,8,5208.33,0.32
hr_payroll_exemp_m_1,hr_payroll_tax_period_m,1,1,0.00,0.00
hr_payroll_exemp_m_2,hr_payroll_tax_period_m,2,2,0.00,0.05
hr_payroll_exemp_m_3,hr_payroll_tax_period_m,3,3,41.67,0.10
hr_payroll_exemp_m_4,hr_payroll_tax_period_m,4,4,208.33,0.15
hr_payroll_exemp_m_5,hr_payroll_tax_period_m,5,5,708.33,0.20
hr_payroll_exemp_m_6,hr_payroll_tax_period_m,6,6,1875.00,0.25
hr_payroll_exemp_m_7,hr_payroll_tax_period_m,7,7,4166.67,0.30
hr_payroll_exemp_m_8,hr_payroll_tax_period_m,8,8,10416.67,0.32
